Feature,Importance
0,Securities Account,0.004219976694064153
1,Online,0.006909104430062229
2,CreditCard,0.008463392618449203
3,Mortgage,0.03189577303706647
4,Experience,0.03245540269882433
5,Age,0.033067403718170255
6,ZIP Code,0.03344416118348872
7,CD Account,0.050517067076918436
8,Family,0.10768089205596136
9,CCAvg,0.15112859968378597
10,Education,0.1965938059777954
11,Income,0.3436244208254134
